,REGISTRY_ID,FAC_NAME,SDWA_IDS,SDWIS_FLAG,FAC_LAT,FAC_LONG,PWSID,PWS_NAME,PWS_ACTIVITY_CODE,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,PRIMARY_SOURCE_CODE,SERVICE_CONNECTIONS_COUNT,STATE_CODE,SYSTEM_SIZE
0,110051003604,MILLSTONE COMMUNITY CTR,NJ1332323,Y,40.287056,-74.152446,NJ1332323,MILLSTONE COMMUNITY CTR,A,TNCWS,30.0,GW,1.0,NJ,Very Small
2,110050952199,DUKES PIZZERIA AND RESTAURANT,NJ1010305,Y,40.565283,-74.91197,NJ1010305,DUKES PIZZERIA AND RESTAURANT,A,TNCWS,165.0,GW,1.0,NJ,Very Small
3,110013233848,MAPLEWOOD APARTMENTS,NJ0340002,Y,39.875786,-74.663006,NJ0340002,MAPLEWOOD APARTMENTS,A,CWS,55.0,GW,40.0,NJ,Very Small
4,110049395855,STEVES CAFE 47,NJ0506414,Y,39.086143,-74.847716,NJ0506414,STEVES CAFE 47,A,TNCWS,53.0,GW,1.0,NJ,Very Small
7,110049193163,MEDFORD BOWLING LANES,NJ0320307,Y,39.875786,-74.663006,NJ0320307,MEDFORD BOWLING LANES,A,TNCWS,156.0,GW,1.0,NJ,Very Small
9,110051142599,MOUNTAIN CREEK RESORT,NJ1922350,Y,41.137424,-74.691855,NJ1922350,MOUNTAIN CREEK RESORT,A,NTNCWS,5041.0,GW,5.0,NJ,Medium
10,110051134134,SURFSIDE PRODUCTS,NJ0602303,Y,39.328387,-75.121644,NJ0602303,SURFSIDE PRODUCTS,A,NTNCWS,85.0,GW,1.0,NJ,Very Small
12,110049257291,ATCO MOTEL,NJ0436491,Y,39.802352,-74.961251,NJ0436491,ATCO MOTEL,A,TNCWS,45.0,GW,1.0,NJ,Very Small
13,110051114398,JEFFERSON STRIP MALL,NJ1414414,Y,40.858581,-74.547427,NJ1414414,JEFFERSON STRIP MALL,A,NTNCWS,198.0,GW,1.0,NJ,Very Small
14,110050998514,EMPIRE DINER LLC,NJ1316302,Y,40.287056,-74.152446,NJ1316302,EMPIRE DINER LLC,A,TNCWS,120.0,GW,1.0,NJ,Very Small
